Lx_nm,Ly_nm,h_nm,a_nm,b_nm,Re_Exx,Im_Exx,Re_Eyy,Im_Eyy,Abs_Exx,Abs_Eyy,Phi_x_deg,Phi_y_deg
520,520,600,200,150,0.97076362,-0.21727601,0.54175879,-0.75480829,0.994781820519969,0.929106097921539,-12.6159989600077,-54.3313490530198
520,520,650,120,140,0.68369881,0.68575194,-0.32631271,0.86033577,0.968349000107492,0.920140001222117,45.0858998365986,110.771000161408
520,520,650,120,160,0.86543109,-0.24884507,0.17835641,0.91688066,0.900496996331411,0.9340669963499,-16.041999873331,78.9919998510899
520,520,650,120,180,0.0033209278,-0.18536125,0.55429419,0.78456669,0.185390996445392,0.960617999063786,-88.9735999697083,54.7589003060433
520,520,650,120,200,0.94611216,-0.26977673,0.78618937,0.5785874,0.983823004076119,0.97614399805549,-15.9150997725728,36.3508003272773
520,520,650,120,220,0.71931551,-0.65754398,0.90669002,0.36882137,0.974566000105073,0.978833997844516,-42.4312003002844,22.1354003006841
520,520,650,120,240,0.46484605,-0.8290069,0.95587318,0.18064521,0.950438998804349,0.972793003747075,-60.7195000588412,10.7017997478169
520,520,650,120,250,0.30885477,-0.89276588,0.96402806,0.092566384,0.944680996656505,0.96846199507993,-70.9168001016664,5.48475001987142
520,520,650,140,120,-0.3263412,0.86022977,0.68367478,0.68575896,0.920050996419053,0.968337005400666,110.775000024582,45.0872000024966
520,520,650,140,140,0.94210264,0.2130447,0.94211137,0.21302421,0.965891002387464,0.965894998190487,12.7423997941066,12.7411000633777
520,520,650,140,160,0.50277284,-0.52774766,0.9251633,-0.12940086,0.728901997031934,0.93416899661444,-46.3883001122543,-7.96219986515895
520,520,650,140,180,0.95071623,-0.2803538,0.80626493,-0.35656881,0.991191002360218,0.881591999517192,-16.4300997923137,-23.8573001986115
520,520,650,140,200,0.65790634,-0.69006378,0.55876359,-0.51060769,0.95343000408005,0.756925995455846,-46.3666001592174,-42.4215998821011
520,520,650,140,220,0.40127054,-0.82277756,0.16584429,0.31825158,0.915412999422362,0.358871002866072,-64.0014001541639,62.4754998633164
520,520,650,140,240,0.13618129,-0.88070449,0.95972671,-0.25062338,0.891170995068973,0.991911002303154,-81.2101001964231,-14.6353999149647
520,520,650,140,250,-0.040324674,-0.89522426,0.8739742,-0.40997248,0.896131996430076,0.965353995497502,-92.5791000359096,-25.130799891816
520,520,650,160,120,0.17836914,0.91688634,0.86545351,-0.24882862,0.934075002653928,0.90051399772709,78.9912998926671,-16.0405997903085
520,520,650,160,140,0.92512858,-0.12942531,0.50292541,-0.52775285,0.934137998585548,0.729011000401771,-7.9639800470043,-46.3798995678974
520,520,650,160,160,0.55124966,0.39635967,0.55099335,0.39642489,0.678952999590269,0.678783002995607,35.7168999969961,35.7339998304946
520,520,650,160,180,0.72333273,-0.62571359,0.9062659,-0.39175381,0.956413997701801,0.98731399724319,-40.8611999563702,-23.3774998843825
520,520,650,160,200,0.44752364,-0.79219178,0.74383028,-0.59585222,0.909860002779778,0.953059994713768,-60.5370998446825,-38.6967999729167
520,520,650,160,220,0.19701925,-0.85482024,0.64205032,-0.65094866,0.87723100012723,0.9143099974122,-77.0211001222754,-45.3942998300626
520,520,650,160,240,-0.079352791,-0.86197211,0.52765343,-0.70632045,0.865616996053879,0.881649998740411,-95.2597999930183,-53.2385998882033
520,520,650,160,250,-0.29288417,-0.84346542,0.80444284,0.12117445,0.89286900034236,0.813517996211558,-109.149000233607,8.56614970285811
520,520,650,180,120,0.55430249,0.78457552,0.003299614,-0.18523661,0.960630000053855,0.185265995630178,54.7587998777108,-88.9794999794919
520,520,650,180,140,0.80635045,-0.35650399,0.95074514,-0.28033708,0.881644000207069,0.991214002956247,-23.8511997681763,-16.4287001171481
520,520,650,180,160,0.90625123,-0.39175498,0.72333257,-0.62574435,0.98730099576133,0.956434001057955,-23.3779000100849,-40.8625998527991
520,520,650,180,180,0.55963898,-0.73411274,0.55964856,-0.73410669,0.923102000304272,0.923102996968827,-52.6805003276393,-52.6797997878526
520,520,650,180,200,0.28015576,-0.85148247,0.4949003,-0.6978797,0.896386995989164,0.855548001348948,-71.7876998805796,-54.6576997587328
520,520,650,180,220,-0.10860183,-0.92403792,0.37745383,-0.77550897,0.930397998212203,0.862488003587371,-96.7032000973678,-64.0469998964896
520,520,650,180,240,-0.057776985,0.050562117,0.31492975,-0.79688018,0.0767769996236628,0.856853994979247,138.810000213835,-68.4359001225969
520,520,650,180,250,0.055825889,-0.44109633,0.2756974,-0.80270813,0.444615004495023,0.848733997395448,-82.7869000134798,-71.0445002735594
520,520,650,200,120,0.78623378,0.57854392,0.94613986,-0.26975249,0.976153996141006,0.983842995879942,36.3471998348464,-15.913299876815
520,520,650,200,140,0.55864154,-0.51062858,0.65790047,-0.69005279,0.756849996317889,0.953417999312476,-42.4290001181811,-46.3663997402398
520,520,650,200,150,0.97076362,-0.21727601,0.54175879,-0.75480829,0.994781820519969,0.929106097921539,-12.6159989600077,-54.3313490530198
520,520,650,200,160,0.74383496,-0.59584958,0.4475036,-0.79219506,0.953061996779002,0.909853001919191,-38.6965002050215,-60.5383002035
520,520,650,200,180,0.49490325,-0.69788128,0.28016272,-0.85148861,0.855550996630242,0.896395003688402,-54.657599814872,-71.7873999549256
520,520,650,200,200,0.25268911,-0.78404324,0.25268303,-0.7840431,0.82375699602631,0.82375499774362,-72.1364001946817,-72.1367997105804
520,520,650,200,220,0.036208449,-0.78363893,0.154615,-0.80851905,0.784474999213187,0.82317000214895,-87.354499966724,-79.1738999006594
520,520,650,200,240,-0.2091686,-0.73815339,0.084332873,-0.81275646,0.767217003457595,0.81712000143196,-105.821000261832,-84.0761000166481
520,520,650,200,250,-0.52156926,-0.68500468,0.049447092,-0.81404862,0.860968004399031,0.815548999528024,-127.285999914774,-86.5239999859009
520,520,650,220,120,0.90667773,0.36879055,0.71933815,-0.65755775,0.978811001086142,0.974592001111483,22.1340002569345,-42.4308997780117
520,520,650,220,140,0.16626497,0.31863671,0.40124306,-0.82278317,0.359407002169859,0.915405996284388,62.4443998408456,-64.0031000071398
520,520,650,220,160,0.64210283,-0.65092918,0.19704455,-0.85482775,0.914333003707884,0.877244000751652,-45.3910999458438,-77.0196000716489
520,520,650,220,180,0.37744447,-0.77550351,-0.10864491,-0.92402883,0.862478997979603,0.93039399994845,-64.0474002522891,-96.7059002678096
520,520,650,220,200,0.15456543,-0.80849696,0.036185781,-0.78362296,0.823138995844764,0.784458000268811,-79.1770000746674,-87.3561000050996
520,520,650,220,220,-0.033000499,-0.80178316,-0.032993544,-0.80178444,0.802462004454937,0.802462997384798,-92.3568999615345,-92.3564000368978
520,520,650,220,240,-0.28073603,-0.7652843,-0.12087027,-0.78688694,0.815151997094193,0.796115995639101,-110.145000316589,-98.7326998263641
520,520,650,220,250,-0.79090887,-0.56721704,-0.16031784,-0.78343698,0.973278999624999,0.799672002419608,-144.352999936464,-101.565000046129
520,520,650,240,120,0.95586832,0.18051471,0.46483833,-0.82901008,0.972764003089139,0.950437996809258,10.6943001477969,-60.7199997463494
520,520,650,240,140,0.9597239,-0.25062623,0.13617868,-0.88070793,0.991909003586127,0.891173995834387,-14.6356002099031,-81.2102998257342
520,520,650,240,160,0.52763941,-0.70631969,-0.079359764,-0.86196545,0.881640999197998,0.865611003358806,-53.2393002641273,-95.2603000123881
520,520,650,240,180,0.31487569,-0.79687359,-0.05777078,0.050560249,0.856827998254296,0.0767711000360839,-68.4391001073619,138.807999608975
520,520,650,240,200,0.084325471,-0.81275421,-0.20919191,-0.73813743,0.817116999536845,0.767208003592541,-84.0765999861078,-105.823000081357
520,520,650,240,220,-0.12084309,-0.78691135,-0.28069423,-0.76529431,0.796135996648544,0.815147000039667,-98.7304997160866,-110.141999665449
520,520,650,240,240,-0.38358554,-0.73022018,-0.38357186,-0.7302251,0.824839001124658,0.824836995080767,-117.712999980257,-117.711999797465
520,520,650,240,250,-0.00011697169,0.00028744748,-0.43251115,-0.71284047,0.000310335995366001,0.83379099931826,112.142999797481,-121.247000024563
520,520,650,250,120,0.96398303,0.092585492,0.30885321,-0.89276642,0.968418997881012,0.944680996954485,5.48612999758073,-70.9169002253078
520,520,650,250,140,0.87398197,-0.40997241,-0.040335971,-0.89523176,0.965361000272069,0.896139997248873,-25.13060028118,-92.57980001365
520,520,650,250,160,0.80419105,0.12143583,-0.29280662,-0.84347964,0.813308001748348,0.892856998522358,8.58700004752213,-109.143999776942
520,520,650,250,180,0.27565341,-0.80270315,0.055817906,-0.44110742,0.848714998962874,0.444625004480496,-71.0471997368021,-82.7881000237245
520,520,650,250,200,0.049371092,-0.81401817,-0.52169701,-0.68497401,0.815514000992884,0.861021001264441,-86.5292000057026,-127.293999857665
520,520,650,250,220,-0.16035665,-0.78341781,-0.79094019,-0.56717679,0.799661003316042,0.973280995022476,-101.56799969613,-144.355999946838
520,520,650,250,240,-0.43243079,-0.71287635,-0.00021892203,0.00058206244,0.833779994080781,0.000621870998904174,-121.240999911702,110.612000096214
520,520,650,250,250,-0.33929224,-0.63773991,-0.33927782,-0.63773966,0.722378998124271,0.722372004635332,-118.014000309277,-118.012999892235
